title,brand,price,description,material,size,color,url,img_url
,Puru Kambera Official,559900,Kamia - Alcea Dress dari Puru Kambera Official. Koleksi Long Dress muslim terbaru dengan material yang nyaman dikenakan.,soft polycotton,All Size,Black,https://www.hijup.com/id/long-dress/135446-kamia-alcea-dress,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733957/big_3.jpg
Meara One Set,,1250000,,,,,https://www.hijup.com/id/tags/dec-pd?utm_medium=flashbanner&utm_campaign=flashpd&utm_content=decpd,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/681291/smaller_N5D_3191_copy.jpg
,Puru Kambera Official,299000,Delilah - Reese Plain Shirt dari Puru Kambera Official. Koleksi Shirt muslim terbaru dengan material yang nyaman dikenakan.,cotton popline,All Size,Pink,https://www.hijup.com/id/shirt/131361-delilah-reese-plain-shirt,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/710969/big_3.jpg
,Puru Kambera Official,389900,Delilah - Dulcet Mix Blouse dari Puru Kambera Official. Koleksi Blouse muslim terbaru dengan material yang nyaman dikenakan.,Soft polycotton mix woolpeach,All Size,Black,https://www.hijup.com/id/blouse/131358-delilah-dulcet-mix-blouse,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/710951/big_2.jpg
,Puru Kambera Official,235000,Koleksi terbaru Delilah - Joy Scarf dari Puru Kambera Official,Puruvoile,All Size,Periwinkle,https://www.hijup.com/id/hijab-motif/131351-delilah-joy-scarf,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/710909/big_1.jpg
,Puru Kambera Official,559900,Kamia - Iris Dress dari Puru Kambera Official. Koleksi Long Dress muslim terbaru dengan material yang nyaman dikenakan.,soft polycotton,All Size,Navy,https://www.hijup.com/id/long-dress/135447-kamia-iris-dress,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733963/big_4.jpg
Set Zara (Oneset Blouse Kulot),,349000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=11,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/587584/smaller_HJP_BLK.jpg
Kamia - Iris Dress,,559900,,,,,https://www.hijup.com/id/brands/purukamberaofficial,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733963/smaller_4.jpg
,Puru Kambera Official,235000,Koleksi terbaru Kamia - Lila Scarf dari Puru Kambera Official,Purufine,All Size,Lilac,https://www.hijup.com/id/hijab-motif/135443-kamia-lila-scarf,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733945/big_1.jpg
Basic Scarf - Almondine,,275000,,,,,https://www.hijup.com/id/tags/dec-pd?product_search%5Bpage%5D=33,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/754495/smaller_BUTTONSCARVES_BASIC_SCARF_IN_ALMONDINE_1.JPG
Kamia - Iris Dress,,559900,,,,,https://www.hijup.com/id/categories/pakaian,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733963/smaller_4.jpg
Kamia - Iris Dress,,559900,,,,,https://www.hijup.com/id/categories/gamis,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733963/smaller_4.jpg
The Crown Voile Square - Opal,,475000,,,,,https://www.hijup.com/id/tags/dec-pd?utm_campaign=flashpd&utm_content=decpd&utm_medium=flashbanner&product_search%5Bpage%5D=2,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/745351/smaller_BUTTONSCARVES_THE_CROWN_SERIES_SQUARE_IN_OPAL_1.JPG
,RiaMiranda,1250000,Meara One Set dari RiaMiranda. Koleksi Matching Sets muslim terbaru dengan material yang nyaman dikenakan.,Polly textured,S/M,Purple Rose,https://www.hijup.com/id/matching-sets/125474-meara-one-set,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/681291/big_N5D_3191_copy.jpg
Mybamus Naila Knit Batwing Dress - Dress Knit Wanita,,190000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=2,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/748850/smaller_2.jpg
Basic Tie Inner in Silver Grey,,69000,,,,,https://www.hijup.com/id/tags/dec-pd?product_search%5Bpage%5D=3,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/740267/smaller_v1-989-132133-217893-26424-46-325480.jpg
Mybamus Kanaya Kemeja Ruffle,,180000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=3,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/763359/smaller_WhatsApp_Image_2024-11-01_at_14.28.28__2_.jpeg
Kamia - Iris Dress,,559900,,,,,https://www.hijup.com/id/categories/dress,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733963/smaller_4.jpg
Kamia - Lila Scarf,,235000,,,,,https://www.hijup.com/id/categories/hijab-motif,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733945/smaller_1.jpg
Delilah - Dulcet Mix Blouse,,389900,,,,,https://www.hijup.com/id/categories/blus,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/710951/smaller_2.jpg
Hijup Cattleya Scarf Soft Pink,,199900,,,,,https://www.hijup.com/id,https://storage.googleapis.com/hijup-production-sg-core/system/banners/primary/mobile_image/3929/mobile_MM-free-shipping.jpg
Kamia - Lila Scarf,,235000,,,,,https://www.hijup.com/id/categories/hijab-segi-empat,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733945/smaller_1.jpg
Delilah - Reese Plain Shirt,,299000,,,,,https://www.hijup.com/id/categories/kemeja,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/710969/smaller_3.jpg
Meara One Set,,1250000,,,,,https://www.hijup.com/id/tags/dec-pd?product_search%5Bpage%5D=1,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/681291/smaller_N5D_3191_copy.jpg
Basic Tie Inner in Silver Grey,,69000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=9,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/740267/smaller_v1-989-132133-217893-26424-46-325480.jpg
Kamia - Lila Scarf,,235000,,,,,https://www.hijup.com/id/categories/hijab,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733945/smaller_1.jpg
