title,brand,price,description,material,size,color,availability,url,img_url,scraped_at
high waist scuba pants,HIJUP BASIC,117180,High Waist Scuba Pants dari HIJUP BASIC. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Scuba,L/XL,Dusty Pink,Buy Now,https://www.hijup.com/en/pants/110811-high-waist-scuba-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/610923/big_272992.jpg,2024-12-27
,,117180,,,,,Sold Out,https://www.hijup.com/en/categories/pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/611597/smaller_v1-586-110811-186575-25093-80-272990.jpg,2024-12-27
,,325000,,,,,Sold Out,https://www.hijup.com/en/products/new-arrival?product_search%5Bpage%5D=10,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766600/smaller_Crystal_Bow_Brooch_-_Gold_.jpg,2024-12-27
buy 1 get 1 free sporty jogger pants,LEZAHRASIGNATURE,299000,BUY 1 GET 1 FREE Cotton Jogger Pants dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Etalase ini Mendapatkan 2 Pcs,All Size/2591.RO,Coklat - Navy,Buy Now,https://www.hijup.com/en/pants/140269-buy-1-get-1-free-sporty-jogger-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/765704/big_BUY_1_GET_1__1440_x_1800_piksel___4_.jpg,2024-12-27
buy 1 get 1 free kia pants official wear,LEZAHRASIGNATURE,349000,BUY 1 GET 1 FREE Azkia Pants  dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,"Etalase ini Mendapatkan 2 Pcs Produk Azkia Pants dengan harga khusus hanya Rp.199.500,- per pcs nya.",XL /066BYL,RANDOM,Buy Now,https://www.hijup.com/en/pants/140796-buy-1-get-1-free-kia-pants-official-wear,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766114/big_2.jpg,2024-12-27
daily track pants army,LEZAHRASIGNATURE,399000,Daily Track Pants - ARMY dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Parasut (Furing Dalam Semata kaki),XL /2379CL,Olive,Buy Now,https://www.hijup.com/en/pants/141095-daily-track-pants-army,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/767173/big_IMG_4580.JPG,2024-12-27
buy 1 get 1 free cotton jogger pants,LEZAHRASIGNATURE,299000,BUY 1 GET 1 FREE Cotton Jogger Pants dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Scuba Spandex,XL ,Black - Cappucino,Buy Now,https://www.hijup.com/en/pants/98884-buy-1-get-1-free-cotton-jogger-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/765746/big_BUY_1_GET_1__1440_x_1800_piksel___8_.jpg,2024-12-27
,,319920,,,,,Sold Out,https://www.hijup.com/en/products/new-arrival?product_search%5Bpage%5D=3,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/733977/smaller_2.jpg,2024-12-27
,,128950,,,,,Sold Out,https://www.hijup.com/en/products/new-arrival?product_search%5Bpage%5D=2,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/748695/smaller_IG_HIJUP_LS_DENIM_TIARA_LB_._KMJ_STRIPE_DHEA.jpg,2024-12-27
,,92220,,,,,Sold Out,https://www.hijup.com/en/categories/pants?product_search%5Bpage%5D=2,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/459457/smaller_210703.jpg,2024-12-27
