brand,price,description,material,size,color,url,img_url
,875000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=11,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/763573/smaller_CoralDreamsPuffyShirt-Jellyfish_2.jpg
HIJUP BASIC,113400,High Waist Knit Pants dari HIJUP BASIC. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Knit,All Size,Jade Green,https://www.hijup.com/id/pants/110602-high-waist-knit-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/611599/big_v1-586-110602-186317-25085-46-272641.jpg
,357435,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=10,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/641413/smaller_1S3A0475.jpg
,99000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=3,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/763359/smaller_WhatsApp_Image_2024-11-01_at_14.28.28__2_.jpeg
,475000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=8,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/763679/smaller_BUTTONSCARVES_YUCCA_SERIES_IN_SAVANNA_1.jpg
,100000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=2,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/748850/smaller_2.jpg
Mybamus,59900,"Hallo beauty! Siapa nih yang suka berpenampilan feminim? Mybamus ngeluarin produk barunya, Rok plisket berbahan hyga premium dengan desain feminim dan mudah dipadupadan kan dengan outfit apapun dan nyaman digunakan sehari-hari maupun acara formal.Yuk di checkout sekarang!
","
",All size,Cocoa M19094 R83S3,https://www.hijup.com/id/skirt/140260-mybamus-kalisa-rok-plisket-premium,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/763261/big_WhatsApp_Image_2024-11-01_at_14.21.47__2_.jpeg
LEZAHRASIGNATURE,218900,Atika Pants (Celana Jogger Denim) Fit BB 43-80 kg dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Soft Denim Non Strech,All Size /1033HA,Hitam,https://www.hijup.com/id/pants/140388-atika-pants-celana-jogger-denim-fit-bb-43-80-kg,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/764118/big_IMG_8640.JPG
,168750,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=4,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/765950/smaller_ig_ckt.jpg
LEZAHRASIGNATURE,239000,Jasmin Pants (Kulot Jeans Basic) dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Celana Soft Jeans,All Size/6006IN,Biru Muda,https://www.hijup.com/id/pants/140320-jasmin-pants-kulot-jeans-basic,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/763591/big_HJP_LB.jpg
,425000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=7,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/613850/smaller_275419.jpg
,264000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=1,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/732959/smaller_JRN00303.jpg
LEZAHRASIGNATURE,239000,Jihan Pants - Snow Black dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Jeans Washed Non Strech,L /9100IN,Snow Black,https://www.hijup.com/id/pants/141004-jihan-pants-snow-black,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766300/big_IMG_2423.JPG
,59250,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=9,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/745452/smaller_Jual_Ciput_Ninja_Inner_Ninja_Premium_di_Shopee_HIJUP_Lafiye_1_copy.png
LEZAHRASIGNATURE,239000,BUNDLING HEMAT 2 Pcs James Pants - Celana Casual Pendek Pria dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Celana Pendek Chinos,XXL /91094JO,Random,https://www.hijup.com/id/pants/140894-bundling-hemat-2-pcs-james-pants-celana-casual-pendek-pria,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766033/big_2.jpg
,795000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=6,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766478/smaller_DreamscapeDimensionsStripsShirt_Noir.jpg
LEZAHRASIGNATURE,349000,BUNDLING HEMAT 2 Pcs Soft Cargo Pants dari LEZAHRASIGNATURE. Koleksi Pants muslim terbaru dengan material yang nyaman dikenakan.,Soft Babyterry,XXL /2363CL,Random,https://www.hijup.com/id/pants/140897-bundling-hemat-2-pcs-soft-cargo-pants,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766044/big_2.jpg
Benang Jarum,,Ashley Pleated Skirt - Black dari Benang Jarum. Koleksi Skirt muslim terbaru dengan material yang nyaman dikenakan.,100% Polyester,L/XL,Black,https://www.hijup.com/id/skirt/140988-ashley-pleated-skirt-black,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766389/big_AshleyPleatedSkirt-Black_1.jpg
,295000,,,,,https://www.hijup.com/id/products/new-arrival?product_search%5Bpage%5D=5,https://storage.googleapis.com/hijup-production-sg-core/system/product_image/image/766656/smaller_Effortless_Instant_Shawl_-_Vanilla_.jpeg
